Starting aircraft logger...
Connecting to 127.0.0.1:30003...
Connected. Listening for aircraft data...
Flushed stale aircraft: ['2025-05-05 03:01:57', '7C6B0D', '', '18425', '428', '-37.12629', '145.46221']
Logged aircraft: ['2025-05-05 03:10:03', '7C6DE4', 'QFA441', '15375', '295', '-37.44974', '145.63948']
Logged aircraft: ['2025-05-05 03:10:13', '7C6DE4', 'QFA441', '15275', '295', '-37.45015', '145.63874']
Logged aircraft: ['2025-05-05 03:10:19', '7C6DE4', 'QFA441', '15100', '297', '-37.45789', '145.62524']
Logged aircraft: ['2025-05-05 03:10:23', '7C6DE4', 'QFA441', '14975', '296', '-37.46617', '145.61118']
Logged aircraft: ['2025-05-05 03:10:28', '7C6DE4', 'QFA441', '14850', '295', '-37.46658', '145.61046']
Logged aircraft: ['2025-05-05 03:10:33', '7C6DE4', 'QFA441', '14750', '295', '-37.46992', '145.60485']
Logged aircraft: ['2025-05-05 03:10:38', '7C6DE4', 'QFA441', '14600', '295', '-37.47427', '145.59742']
Logged aircraft: ['2025-05-05 03:10:53', '7C6DE4', 'QFA441', '14475', '294', '-37.47818', '145.59082']
Logged aircraft: ['2025-05-05 03:11:13', '7C6DE4', 'QFA441', '14075', '293', '-37.49043', '145.56984']
Logged aircraft: ['2025-05-05 03:11:18', '7C6DE4', 'QFA441', '13550', '291', '-37.50664', '145.54179']
Logged aircraft: ['2025-05-05 03:11:18', '7C6DE4', 'QFA441', '13425', '290', '-37.51072', '145.53469']
Logged aircraft: ['2025-05-05 03:11:28', '7C6DE4', 'QFA441', '13325', '290', '-37.51361', '145.52962']
Logged aircraft: ['2025-05-05 03:13:05', '7C7A3E', 'VOZ838', '15600', '338', '-37.45006', '145.63903']
Logged aircraft: ['2025-05-05 03:13:09', '7C7A3E', 'VOZ838', '15525', '338', '-37.45148', '145.63640']
Logged aircraft: ['2025-05-05 03:13:14', '7C7A3E', 'VOZ838', '15375', '339', '-37.45583', '145.62875']
Logged aircraft: ['2025-05-05 03:13:24', '7C7A3E', 'VOZ838', '15200', '338', '-37.46100', '145.61986']
Logged aircraft: ['2025-05-05 03:13:29', '7C7A3E', 'VOZ838', '14875', '338', '-37.46983', '145.60467']
Logged aircraft: ['2025-05-05 03:13:34', '7C7A3E', 'VOZ838', '14700', '338', '-37.47455', '145.59661']
Logged aircraft: ['2025-05-05 03:13:39', '7C7A3E', 'VOZ838', '14550', '337', '-37.47876', '145.58953']
Logged aircraft: ['2025-05-05 03:13:44', '7C7A3E', 'VOZ838', '14375', '337', '-37.48375', '145.58100']
Logged aircraft: ['2025-05-05 03:13:49', '7C7A3E', 'VOZ838', '14200', '336', '-37.48805', '145.57362']
Flushed stale aircraft: ['2025-05-05 03:13:49', '7C6DE4', '', '13175', '', '-37.51817', '145.52168']
Flushed stale aircraft: ['2025-05-05 03:16:12', '7C7A3E', '', '14025', '335', '-37.49290', '145.56534']
Logged aircraft: ['2025-05-05 03:20:59', 'C827A3', 'ANZ192', '35025', '509', '-37.15702', '145.33222']
Logged aircraft: ['2025-05-05 03:21:03', 'C827A3', 'ANZ192', '35025', '509', '-37.15739', '145.33366']
Logged aircraft: ['2025-05-05 03:21:09', 'C827A3', 'ANZ192', '35025', '509', '-37.15979', '145.34392']
Logged aircraft: ['2025-05-05 03:21:14', 'C827A3', 'ANZ192', '35000', '508', '-37.16349', '145.35957']
Logged aircraft: ['2025-05-05 03:21:19', 'C827A3', 'ANZ192', '35000', '508', '-37.16661', '145.37283']
Logged aircraft: ['2025-05-05 03:21:24', 'C827A3', 'ANZ192', '35000', '508', '-37.17004', '145.38728']
Logged aircraft: ['2025-05-05 03:21:29', 'C827A3', 'ANZ192', '35000', '507', '-37.17350', '145.40178']
Logged aircraft: ['2025-05-05 03:21:30', 'C827A3', 'ANZ192', '35000', '506', '-37.17690', '145.41611']
Logged aircraft: ['2025-05-05 03:21:34', 'C827A3', 'ANZ192', '35000', '506', '-37.17746', '145.41849']
Logged aircraft: ['2025-05-05 03:21:39', 'C827A3', 'ANZ192', '35000', '506', '-37.18016', '145.42985']
Logged aircraft: ['2025-05-05 03:21:44', 'C827A3', 'ANZ192', '35000', '506', '-37.18369', '145.44455']
Logged aircraft: ['2025-05-05 03:21:49', 'C827A3', 'ANZ192', '35000', '506', '-37.18694', '145.45828']
Logged aircraft: ['2025-05-05 03:21:54', 'C827A3', 'ANZ192', '35000', '506', '-37.19021', '145.47218']
Logged aircraft: ['2025-05-05 03:21:59', 'C827A3', 'ANZ192', '35000', '506', '-37.19356', '145.48621']
Logged aircraft: ['2025-05-05 03:22:04', 'C827A3', 'ANZ192', '34975', '506', '-37.19696', '145.50048']
Logged aircraft: ['2025-05-05 03:22:09', 'C827A3', 'ANZ192', '34975', '505', '-37.20026', '145.51438']
Logged aircraft: ['2025-05-05 03:22:14', 'C827A3', 'ANZ192', '34975', '505', '-37.20360', '145.52835']
Logged aircraft: ['2025-05-05 03:22:14', 'C827A3', 'ANZ192', '34975', '504', '-37.20688', '145.54222']
Logged aircraft: ['2025-05-05 03:22:19', 'C827A3', 'ANZ192', '34975', '505', '-37.20725', '145.54389']
Flushed stale aircraft: ['2025-05-05 03:22:39', '7C0B6D', '', '2675', '', '', '']
Logged aircraft: ['2025-05-05 03:22:49', '7C7BC6', 'VOZ845', '20475', '410', '-37.17406', '145.37939']
Logged aircraft: ['2025-05-05 03:22:59', '7C7BC6', 'VOZ845', '20875', '414', '-37.16098', '145.40232']
Logged aircraft: ['2025-05-05 03:23:04', '7C7BC6', 'VOZ845', '21250', '414', '-37.14908', '145.42316']
Logged aircraft: ['2025-05-05 03:23:09', '7C7BC6', 'VOZ845', '21450', '414', '-37.14729', '145.42632']
Flushed stale aircraft: ['2025-05-05 03:24:26', '7C6A58', '', '13075', '259', '', '']
Flushed stale aircraft: ['2025-05-05 03:25:26', 'C827A3', '', '34975', '505', '-37.21009', '145.55595']
Flushed stale aircraft: ['2025-05-05 03:25:26', '7C7BC6', '', '21725', '414', '-37.14003', '145.43898']
Logged aircraft: ['2025-05-05 03:29:46', '7C495B', 'RXA3469', '16325', '224', '-37.67047', '145.76280']
Logged aircraft: ['2025-05-05 03:29:51', '7C495B', 'RXA3469', '15375', '220', '-37.67100', '145.75968']
Logged aircraft: ['2025-05-05 03:29:56', '7C495B', 'RXA3469', '15325', '217', '-37.67156', '145.75597']
Logged aircraft: ['2025-05-05 03:30:01', '7C495B', 'RXA3469', '15225', '216', '-37.67263', '145.74952']
Logged aircraft: ['2025-05-05 03:30:06', '7C495B', 'RXA3469', '15150', '214', '-37.67358', '145.74381']
Logged aircraft: ['2025-05-05 03:30:11', '7C495B', 'RXA3469', '15075', '211', '-37.67459', '145.73788']
Logged aircraft: ['2025-05-05 03:30:11', '7C495B', 'RXA3469', '14975', '210', '-37.67555', '145.73177']
Logged aircraft: ['2025-05-05 03:30:15', '7C495B', 'RXA3469', '14975', '209', '-37.67564', '145.73125']
Logged aircraft: ['2025-05-05 03:30:21', '7C495B', 'RXA3469', '14900', '208', '-37.67656', '145.72581']
Logged aircraft: ['2025-05-05 03:30:26', '7C495B', 'RXA3469', '14800', '206', '-37.67752', '145.71991']
Logged aircraft: ['2025-05-05 03:30:31', '7C495B', 'RXA3469', '14700', '205', '-37.67854', '145.71370']
Logged aircraft: ['2025-05-05 03:30:36', '7C495B', 'RXA3469', '14625', '203', '-37.67957', '145.70743']
Logged aircraft: ['2025-05-05 03:30:41', '7C495B', 'RXA3469', '14525', '201', '-37.68045', '145.70212']
Logged aircraft: ['2025-05-05 03:30:46', '7C495B', 'RXA3469', '14450', '200', '-37.68138', '145.69638']
Logged aircraft: ['2025-05-05 03:30:51', '7C495B', 'RXA3469', '14350', '198', '-37.68250', '145.68958']
Logged aircraft: ['2025-05-05 03:30:56', '7C495B', 'RXA3469', '14275', '196', '-37.68329', '145.68455']
Logged aircraft: ['2025-05-05 03:31:01', '7C495B', 'RXA3469', '14200', '194', '-37.68420', '145.67924']
Logged aircraft: ['2025-05-05 03:31:31', '7C495B', 'RXA3469', '14100', '192', '-37.68503', '145.67398']
Logged aircraft: ['2025-05-05 03:31:56', '7C495B', 'RXA3469', '13575', '180', '-37.69016', '145.64236']
Logged aircraft: ['2025-05-05 03:32:16', '7C495B', 'RXA3469', '12925', '171', '-37.69637', '145.60491']
Logged aircraft: ['2025-05-05 03:34:09', '7C6C9C', 'JST607', '25825', '413', '-37.29950', '145.58363']
Logged aircraft: ['2025-05-05 03:34:20', '7C6C9C', 'JST607', '25675', '410', '-37.30142', '145.57978']
Logged aircraft: ['2025-05-05 03:34:24', '7C6C9C', 'JST607', '25275', '409', '-37.31140', '145.55950']
Logged aircraft: ['2025-05-05 03:34:29', '7C6C9C', 'JST607', '25075', '407', '-37.31641', '145.54926']
Logged aircraft: ['2025-05-05 03:34:34', '7C6C9C', 'JST607', '24875', '406', '-37.32107', '145.53977']
Logged aircraft: ['2025-05-05 03:34:40', '7C6C9C', 'JST607', '24675', '404', '-37.32582', '145.52998']
Logged aircraft: ['2025-05-05 03:34:44', '7C6C9C', 'JST607', '24475', '404', '-37.33063', '145.52017']
Logged aircraft: ['2025-05-05 03:34:49', '7C6C9C', 'JST607', '24275', '403', '-37.33562', '145.50994']
Logged aircraft: ['2025-05-05 03:35:00', '7C6C9C', 'JST607', '24075', '402', '-37.34038', '145.50018']
Logged aircraft: ['2025-05-05 03:35:05', '7C6C9C', 'JST607', '23625', '400', '-37.35030', '145.47982']
Flushed stale aircraft: ['2025-05-05 03:35:12', '7C495B', '', '12550', '182', '-37.69912', '145.58807']
Logged aircraft: ['2025-05-05 03:35:38', '7C4A53', 'JST513', '17375', '289', '-37.44560', '145.64790']
Logged aircraft: ['2025-05-05 03:35:42', '7C4A53', 'JST513', '16725', '286', '-37.44699', '145.64533']
Logged aircraft: ['2025-05-05 03:35:47', '7C4A53', 'JST513', '16675', '286', '-37.44841', '145.64260']
Logged aircraft: ['2025-05-05 03:35:57', '7C4A53', 'JST513', '16525', '288', '-37.45290', '145.63435']
Logged aircraft: ['2025-05-05 03:35:58', '7C4A53', 'JST513', '16325', '292', '-37.45990', '145.62244']
Logged aircraft: ['2025-05-05 03:36:08', '7C4A53', 'JST513', '16300', '293', '-37.46068', '145.62115']
Logged aircraft: ['2025-05-05 03:36:13', '7C4A53', 'JST513', '16025', '297', '-37.46915', '145.60682']
Logged aircraft: ['2025-05-05 03:36:18', '7C4A53', 'JST513', '15875', '298', '-37.47331', '145.59959']
Logged aircraft: ['2025-05-05 03:36:28', '7C4A53', 'JST513', '15750', '299', '-37.47693', '145.59339']
Logged aircraft: ['2025-05-05 03:36:33', '7C4A53', 'JST513', '15475', '300', '-37.48508', '145.57931']
Logged aircraft: ['2025-05-05 03:36:38', '7C4A53', 'JST513', '15325', '300', '-37.48920', '145.57212']
